Kmed	MSS	Kmed_sq	MSS_sq
15	48	15	48
18	32	18	32
43	48	3	48
15	59	15	59
52	60	46	60
14	61	14	61
14	61	14	61
14	32	31	32
21	59	46	59
14	61	14	61
43	48	3	48
52	60	46	60
15	62	15	62
14	61	14	61
15	59	15	59
21	60	46	60
21	59	15	59
18	32	18	32
52	60	46	60
14	32	31	32
21	59	46	59
52	60	46	60
18	32	18	32
52	60	46	60
52	60	15	60
18	32	18	32
18	32	18	32
18	32	18	32
21	48	31	48
52	60	46	60
43	48	31	48
18	32	18	32
14	61	14	61
15	62	15	62
15	62	15	62
52	60	46	60
21	59	15	59
15	62	46	62
21	59	15	59
14	61	14	61
15	59	15	59
14	61	14	61
43	48	31	48
15	62	15	62
21	59	3	59
52	60	46	60
15	62	15	62
43	48	31	48
18	61	14	61
15	62	15	62
52	59	15	59
52	60	46	60
15	59	15	59
15	62	3	62
14	61	14	61
52	60	46	60
14	61	18	61
18	61	18	61
15	59	15	59
15	60	46	60
14	61	14	61
43	62	3	62
