Kmed	MSS	Kmed_sq	MSS_sq
2	n.a.	2	n.a.
2	n.a.	2	n.a.
7	n.a.	7	n.a.
6	n.a.	6	n.a.
6	n.a.	6	n.a.
6	n.a.	6	n.a.
7	n.a.	7	n.a.
7	n.a.	7	n.a.
68	n.a.	68	n.a.
7	n.a.	7	n.a.
6	n.a.	6	n.a.
6	n.a.	6	n.a.
35	n.a.	35	n.a.
2	n.a.	2	n.a.
7	n.a.	7	n.a.
7	n.a.	7	n.a.
68	n.a.	68	n.a.
21	n.a.	21	n.a.
35	n.a.	35	n.a.
7	n.a.	7	n.a.
21	n.a.	21	n.a.
21	n.a.	21	n.a.
7	n.a.	7	n.a.
6	n.a.	6	n.a.
6	n.a.	6	n.a.
2	n.a.	2	n.a.
35	n.a.	35	n.a.
2	n.a.	2	n.a.
21	n.a.	21	n.a.
7	n.a.	7	n.a.
7	n.a.	7	n.a.
35	n.a.	35	n.a.
7	n.a.	7	n.a.
2	n.a.	2	n.a.
35	n.a.	35	n.a.
35	n.a.	35	n.a.
21	n.a.	21	n.a.
2	n.a.	2	n.a.
68	n.a.	68	n.a.
7	n.a.	7	n.a.
6	n.a.	6	n.a.
68	n.a.	68	n.a.
35	n.a.	35	n.a.
7	n.a.	7	n.a.
35	n.a.	35	n.a.
2	n.a.	2	n.a.
68	n.a.	68	n.a.
7	n.a.	7	n.a.
2	n.a.	2	n.a.
68	n.a.	68	n.a.
68	n.a.	68	n.a.
2	n.a.	2	n.a.
6	n.a.	6	n.a.
68	n.a.	68	n.a.
35	n.a.	35	n.a.
7	n.a.	7	n.a.
2	n.a.	2	n.a.
2	n.a.	2	n.a.
7	n.a.	7	n.a.
7	n.a.	7	n.a.
7	n.a.	7	n.a.
35	n.a.	35	n.a.
21	n.a.	21	n.a.
6	n.a.	6	n.a.
7	n.a.	7	n.a.
21	n.a.	21	n.a.
21	n.a.	21	n.a.
68	n.a.	68	n.a.
68	n.a.	68	n.a.
6	n.a.	6	n.a.
21	n.a.	21	n.a.
35	n.a.	35	n.a.
7	n.a.	7	n.a.
68	n.a.	68	n.a.
6	n.a.	6	n.a.
21	n.a.	21	n.a.
21	n.a.	21	n.a.
68	n.a.	68	n.a.
7	n.a.	7	n.a.
35	n.a.	35	n.a.
7	n.a.	7	n.a.
6	n.a.	6	n.a.
35	n.a.	35	n.a.
68	n.a.	68	n.a.
6	n.a.	6	n.a.
7	n.a.	7	n.a.
6	n.a.	6	n.a.
21	n.a.	21	n.a.
68	n.a.	68	n.a.
2	n.a.	2	n.a.
6	n.a.	6	n.a.
2	n.a.	2	n.a.
35	n.a.	35	n.a.
2	n.a.	2	n.a.
35	n.a.	35	n.a.
2	n.a.	2	n.a.
21	n.a.	21	n.a.
6	n.a.	6	n.a.
6	n.a.	6	n.a.
35	n.a.	35	n.a.
7	n.a.	7	n.a.
2	n.a.	2	n.a.
2	n.a.	2	n.a.
2	n.a.	2	n.a.
68	n.a.	68	n.a.
2	n.a.	2	n.a.
7	n.a.	7	n.a.
6	n.a.	6	n.a.
68	n.a.	68	n.a.
2	n.a.	2	n.a.
68	n.a.	68	n.a.
68	n.a.	68	n.a.
21	n.a.	21	n.a.
21	n.a.	21	n.a.
68	n.a.	68	n.a.
