Kmed	MSS	Kmed_sq	MSS_sq
49	59	49	n.a.
82	59	82	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	127	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
82	127	82	n.a.
82	59	82	n.a.
82	59	82	n.a.
82	59	82	n.a.
49	127	49	n.a.
49	59	49	n.a.
82	59	82	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
82	59	82	n.a.
82	59	82	n.a.
49	59	49	n.a.
49	59	49	n.a.
82	59	82	n.a.
49	59	49	n.a.
82	127	82	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
49	59	49	n.a.
82	130	82	n.a.
89	130	89	n.a.
89	130	89	n.a.
82	130	82	n.a.
82	127	82	n.a.
89	130	89	n.a.
82	127	82	n.a.
82	127	82	n.a.
82	130	82	n.a.
89	130	89	n.a.
82	127	82	n.a.
89	130	89	n.a.
82	127	82	n.a.
82	130	82	n.a.
49	127	49	n.a.
82	127	82	n.a.
82	130	82	n.a.
82	130	82	n.a.
89	130	89	n.a.
82	127	82	n.a.
82	127	82	n.a.
82	130	82	n.a.
82	130	82	n.a.
89	130	89	n.a.
175	178	175	n.a.
82	127	82	n.a.
82	130	82	n.a.
89	130	89	n.a.
89	130	89	n.a.
89	130	89	n.a.
89	130	89	n.a.
89	130	89	n.a.
89	130	89	n.a.
89	130	89	n.a.
82	127	82	n.a.
82	127	82	n.a.
49	127	49	n.a.
89	127	89	n.a.
82	130	82	n.a.
82	127	82	n.a.
82	127	82	n.a.
82	130	82	n.a.
82	130	82	n.a.
89	127	89	n.a.
89	130	89	n.a.
82	130	82	n.a.
89	130	89	n.a.
82	130	82	n.a.
89	130	89	n.a.
82	130	82	n.a.
82	127	82	n.a.
82	127	82	n.a.
82	130	82	n.a.
89	130	89	n.a.
89	130	89	n.a.
89	130	89	n.a.
89	130	89	n.a.
82	130	82	n.a.
82	130	82	n.a.
89	130	89	n.a.
89	130	89	n.a.
82	127	82	n.a.
89	127	89	n.a.
89	127	89	n.a.
82	127	82	n.a.
82	127	82	n.a.
82	130	82	n.a.
82	127	82	n.a.
89	130	89	n.a.
89	130	89	n.a.
89	130	89	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
89	178	89	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
175	178	175	n.a.
