Kmed	MSS	Kmed_sq	MSS_sq	
8	49	8	49
8	50	8	50
8	50	8	50
8	50	8	50
8	49	8	49
8	49	8	49
8	50	8	50
8	49	8	50
8	50	8	50
8	50	8	50
8	49	8	49
8	50	8	50
8	50	8	50
8	50	8	50
8	49	8	49
8	49	8	49
8	49	8	49
8	49	8	49
8	49	8	49
8	49	8	49
8	49	8	49
8	49	8	49
8	49	8	49
8	50	8	50
8	50	8	50
8	50	8	50
8	49	8	50
8	49	8	49
8	49	8	49
8	50	8	50
8	50	8	50
8	49	8	49
8	49	8	49
8	49	8	49
8	50	8	50
8	50	8	50
8	49	8	49
8	49	8	49
8	50	8	50
8	49	8	50
8	49	8	49
70	50	81	50
8	50	8	50
8	49	8	49
8	49	8	49
8	50	8	50
8	49	8	49
8	50	8	50
8	49	8	49
8	50	8	50
140	149	140	149
79	149	79	149
140	149	140	149
70	150	81	150
79	150	79	150
79	150	79	150
79	149	79	149
70	150	81	150
79	149	79	150
70	150	81	150
70	150	81	150
79	150	79	150
70	150	81	150
79	150	79	150
79	150	79	150
79	149	79	149
79	150	79	150
70	150	81	150
70	150	81	150
70	150	81	150
79	149	79	149
79	150	79	150
79	150	79	150
79	150	79	150
79	150	79	150
79	149	79	149
79	149	79	149
140	149	140	149
79	150	79	150
70	150	81	150
70	150	81	150
70	150	81	150
70	150	79	150
79	150	79	150
79	150	79	150
79	149	79	149
140	149	140	149
70	150	81	150
79	150	79	150
70	150	81	150
70	150	81	150
79	150	79	150
70	150	81	150
70	150	81	150
70	150	79	150
79	150	79	150
79	150	79	150
79	150	79	150
70	150	81	150
79	150	79	150
140	149	140	149
79	150	79	150
140	149	140	149
79	149	79	149
140	149	140	149
140	149	140	149
70	150	81	150
140	149	140	149
140	149	140	149
140	149	140	149
140	149	140	149
79	149	79	149
140	149	140	149
79	150	79	150
79	150	79	150
140	149	140	149
140	149	140	149
140	149	140	149
140	149	140	149
70	150	81	150
140	149	140	149
79	150	79	150
140	149	140	149
79	150	79	150
140	149	140	149
140	149	140	149
79	150	79	150
79	149	79	149
140	149	140	149
140	149	140	149
140	149	140	149
140	149	140	149
140	149	140	149
79	150	79	150
79	150	79	150
140	149	140	149
140	149	140	149
140	149	140	149
79	150	79	150
140	149	140	149
140	149	140	149
140	149	140	149
79	150	79	150
140	149	140	149
140	149	140	149
140	149	140	149
79	150	79	150
140	149	140	149
140	149	140	149
79	150	79	150
