"ClusterNum" "Node1" "Node2" "Node3" "Node4" "Node5" "Node6" "Node7" "Node8" "Node9" "Node10" "Node11" "Node12" "Node13" "Node14" "Node15" "Node16" "Node17" "Node18" "Node19" "Node20" "Node21" "Node22" "Node23" "Node24" "Node25" "Node26" "Node27" "Node28" "Node29" "Node30" "Node31" "Node32" "Node33" "Node34" "Node35" "Node36" "Node37" "Node38" "Node39" "Node40" "Node41" "Node42" "Node43" "Node44" "Node45" "Node46" "Node47" "Node48" "Node49" "Node50" "Node51" "Node52" "Node53" "Node54" "Node55" "Node56" "Node57" "Node58" "Node59" "Node60" "Node61" "Node62"
"1" 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37
"2" 15 18 15 15 15 18 18 18 15 18 15 15 15 18 15 15 15 18 15 18 15 15 18 15 15 18 18 18 18 15 15 18 18 15 15 15 15 15 15 18 15 18 15 15 15 15 15 15 18 15 15 15 15 15 18 15 18 18 15 15 18 15
"3" 15 18 15 15 46 18 18 15 46 18 15 46 15 18 15 46 15 18 46 18 15 46 18 46 46 18 18 18 18 46 15 18 18 15 15 46 15 46 15 18 15 18 15 15 15 46 15 15 18 15 46 46 15 15 18 46 18 18 15 46 18 46
"4" 15 18 21 15 52 18 18 15 21 18 21 52 15 18 15 15 21 18 21 18 21 52 18 52 15 18 18 18 21 52 21 18 18 15 15 52 21 15 21 21 15 18 21 15 21 52 15 21 18 15 21 52 15 15 18 52 18 18 21 15 18 15
"5" 43 2 43 15 52 58 58 2 2 58 43 52 15 58 15 15 15 2 52 2 2 52 2 52 15 2 2 2 2 52 43 2 58 15 15 52 2 15 15 58 15 58 43 15 15 52 15 43 58 15 43 52 15 15 58 52 58 58 15 15 58 43
"6" 15 2 3 15 52 58 58 29 29 58 3 52 15 58 15 15 15 2 52 2 29 52 2 52 15 2 2 2 29 52 29 2 58 15 15 52 2 15 15 58 15 58 3 15 3 52 15 29 58 15 15 52 15 15 2 52 58 58 15 2 58 3
"7" 15 18 3 60 52 58 18 31 60 18 3 52 15 18 15 60 15 18 52 31 3 52 18 52 15 18 18 18 31 52 31 18 18 15 15 52 60 15 15 58 15 58 31 15 3 52 15 31 58 15 15 52 15 15 58 52 58 58 15 60 18 3
"8" 15 18 3 60 52 58 18 31 60 18 3 52 15 18 15 60 15 18 52 31 3 52 18 52 15 18 18 18 31 52 31 18 33 15 15 52 60 15 15 58 15 58 31 15 3 52 15 31 58 15 15 52 15 15 58 52 18 58 15 60 33 3
"9" 1 18 62 60 52 14 14 31 60 14 1 52 39 14 39 60 39 18 52 31 39 52 18 52 52 18 18 18 31 52 31 18 14 39 50 52 60 62 39 14 1 14 31 39 39 52 50 31 14 50 52 52 39 62 14 52 14 14 39 60 14 62
"10" 1 18 62 60 52 58 18 31 60 18 1 52 39 18 1 60 39 18 52 31 39 52 18 52 52 18 18 18 31 52 31 18 61 39 50 52 60 62 39 58 1 58 31 39 39 52 50 31 58 50 52 52 39 62 58 52 18 58 39 60 61 62
